,title,year,time,genre,rating,image
30,Trois couleurs: Rouge,-1994,99 min,Drama  Mystery  Romance,8.1,"https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
31,Groundhog Day,-1993,101 min,Comedy Drama Fantasy,8.1,"https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
32,Ba wang bie ji,-1993,171 min,Drama Music Romance,8.1,"https://m.media-amazon.com/images/M/MV5BYmFhZmM3Y2MtNDA1Ny00NjkzLWJkM2EtYWU1ZjEwYmNjZDQ0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
33,Da hong deng long gao gao gua,-1991,125 min,Drama History Romance,8.1,"https://m.media-amazon.com/images/M/MV5BNDMxMTc2N2ItMjI5Ny00MGFiLThkOTYtZTIyYTZhMzA2NjIzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX67_CR0,0,67,98_AL_.jpg"
34,A Woman Under the Influence,-1974,155 min,Drama Romance,8.1,"https://m.media-amazon.com/images/M/MV5BY2MxMDRlYjMtMGU5MS00MDc2LTg3YWMtMzQ3NTE5YTA2Y2NiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg"
35,The Sound of Music,-1965,172 min,Biography Drama Family,8.1,"https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR1,0,67,98_AL_.jpg"
36,Smultronstället,-1957,91 min,Drama Romance,8.1,"https://m.media-amazon.com/images/M/MV5BYWQxYzdhMDMtNjAyZC00NzE0LWFjYmQtYjk0YzMyYjA5NzZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg"
37,The Red Shoes,-1948,135 min,Drama Music Romance,8.1,"https://m.media-amazon.com/images/M/MV5BOWRmNGEwZjUtZjEwNS00OGZmLThhMmEtZTJlMTU5MGQ3ZWUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
38,The Best Years of Our Lives,-1946,170 min,Drama Romance  War,8.1,"https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
39,The Shop Around the Corner,-1940,99 min,Comedy Drama  Romance,8.1,"https://m.media-amazon.com/images/M/MV5BY2ZlMzFiZDYtYWEzYy00ZjQxLTg1NWYtMzg5MDc3YjRmMjY0XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
40,Rebecca,-1940,130 min,Drama Romance Mystery,8.1,"https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY98_CR0,0,67,98_AL_.jpg"
41,It Happened One Night,-1934,105 min,Comedy Romance,8.1,"https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
42,The Circus,-1928,72 min,Comedy Family Romance,8.1,"https://m.media-amazon.com/images/M/MV5BYWE2OTVkOTYtZDM3OC00M2MwLTliOTAtNTJhNmRkZmZmYTcyXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_UY98_CR1,0,67,98_AL_.jpg"
43,Sunrise: A Song of Two Humans,-1927,94 min,Drama Romance,8.1,"https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
44,Arjun Reddy,-2017,182 min,Action Drama Romance,8,"https://m.media-amazon.com/images/M/MV5BMzFhMThiOWItMzRjNC00YzQwLTkyZWItYmJhNzgwYzY1ODI0XkEyXkFqcGdeQXVyNTcyMzkyODg@._V1_UX67_CR0,0,67,98_AL_.jpg"
45,La La Land,-2016,128 min,Comedy Romance  Music,8,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
46,Her,-2013,126 min,Drama Romance Sci-Fi,8,"https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_UX67_CR0,0,67,98_AL_.jpg"
47,The Perks of Being a Wallflower,-2012,103 min,Drama Romance,8,"https://m.media-amazon.com/images/M/MV5BZThjMmQ5YjktMTUyMC00MjljLWJmMTAtOWIzNDIzY2VhNzQ0XkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_UX67_CR0,0,67,98_AL_.jpg"
48,Slumdog Millionaire,-2008,120 min,Crime Drama Romance,8,"https://m.media-amazon.com/images/M/MV5BZmNjZWI3NzktYWI1Mi00OTAyLWJkNTYtMzUwYTFlZDA0Y2UwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
49,Lage Raho Munna Bhai,-2006,144 min,Comedy  Drama Romance,8,"https://m.media-amazon.com/images/M/MV5BN2ZmMDMwODgtMzA5MS00MGU0LWEyYTgtYzQ5MmQzMzU2NTVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg"
